student_id,enrollment_date,course_id,age,total_modules,modules_completed,completed,last_session_date,dropout_type,max_gap_days,total_time_min,quizzes_taken,quiz_completion_pct,avg_quiz_score
S00052,2026-04-08,COURSE_101,26,10,4,0,2026-05-12,silent_dropout,11.0,288.0,4.0,40.0,71.25
S00053,2026-04-30,COURSE_101,39,10,0,0,2026-04-30,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00054,2026-03-21,COURSE_101,29,10,0,0,2026-03-21,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00055,2026-04-28,COURSE_101,42,10,2,0,2026-05-21,silent_dropout,14.0,178.0,2.0,20.0,67.0
S00056,2026-04-14,COURSE_101,30,10,2,0,2026-04-17,explicit_dropout,2.0,11.0,2.0,20.0,71.0
S00057,2026-03-20,COURSE_101,38,10,10,1,2026-04-15,completer,3.0,891.0,10.0,100.0,84.5
S00058,2026-03-03,COURSE_101,29,10,10,1,2026-03-28,completer,3.0,808.0,10.0,100.0,74.6
S00059,2026-01-28,COURSE_101,31,10,10,1,2026-02-16,completer,3.0,913.0,10.0,100.0,74.9
S00060,2026-04-24,COURSE_101,36,10,10,1,2026-05-13,completer,3.0,1029.0,10.0,100.0,85.2
S00061,2026-03-06,COURSE_101,36,10,10,1,2026-03-28,completer,2.0,852.0,10.0,100.0,74.7
S00062,2026-02-06,COURSE_101,23,10,10,1,2026-02-23,completer,2.0,1047.0,10.0,100.0,75.8
S00063,2026-05-07,COURSE_101,31,10,8,0,2026-07-14,silent_dropout,14.0,563.0,8.0,80.0,76.25
S00064,2026-04-05,COURSE_101,34,10,10,1,2026-05-02,completer,3.0,525.0,10.0,100.0,89.3
S00065,2026-05-09,COURSE_101,32,10,10,1,2026-05-29,completer,3.0,721.0,10.0,100.0,82.7
S00066,2026-01-01,COURSE_101,37,10,10,1,2026-01-27,completer,2.0,988.0,10.0,100.0,77.1
S00067,2026-03-09,COURSE_101,26,10,10,1,2026-03-31,completer,2.0,897.0,10.0,100.0,86.0
S00068,2026-02-13,COURSE_101,31,10,3,0,2026-03-15,silent_dropout,11.0,231.0,3.0,30.0,76.0
S00069,2026-02-15,COURSE_101,39,10,10,1,2026-03-14,completer,3.0,888.0,10.0,100.0,88.5
S00070,2026-02-09,COURSE_101,18,10,0,0,2026-02-09,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00071,2026-03-06,COURSE_101,34,10,2,0,2026-03-31,silent_dropout,14.0,81.0,2.0,20.0,66.5
S00072,2026-03-19,COURSE_101,23,10,10,1,2026-04-06,completer,2.0,1002.0,10.0,100.0,76.4
S00073,2026-02-27,COURSE_101,23,10,10,1,2026-03-21,completer,3.0,1129.0,10.0,100.0,79.2
S00074,2026-04-22,COURSE_101,37,10,4,0,2026-06-03,silent_dropout,15.0,225.0,4.0,40.0,60.5
S00075,2026-01-30,COURSE_101,20,10,2,0,2026-02-24,silent_dropout,15.0,109.0,2.0,20.0,62.5
S00076,2026-01-11,COURSE_101,37,10,6,0,2026-03-02,silent_dropout,12.0,326.0,6.0,60.0,72.66666666666667
S00077,2026-05-04,COURSE_101,43,10,6,0,2026-06-17,silent_dropout,11.0,317.0,6.0,60.0,57.0
S00078,2026-03-09,COURSE_101,20,10,10,1,2026-03-30,completer,3.0,1003.0,10.0,100.0,77.1
S00079,2026-01-12,COURSE_101,24,10,10,1,2026-01-31,completer,2.0,884.0,10.0,100.0,67.3
S00080,2026-01-24,COURSE_101,30,10,10,1,2026-02-12,completer,2.0,744.0,10.0,100.0,85.3
S00081,2026-01-27,COURSE_101,38,10,2,0,2026-01-30,explicit_dropout,1.0,30.0,2.0,20.0,53.5
S00082,2026-01-31,COURSE_101,43,10,4,0,2026-03-10,silent_dropout,12.0,242.0,4.0,40.0,72.0
S00083,2026-04-21,COURSE_101,23,10,10,1,2026-05-08,completer,2.0,1077.0,10.0,100.0,66.9
S00084,2026-04-26,COURSE_101,31,10,10,1,2026-05-18,completer,3.0,961.0,10.0,100.0,74.2
S00085,2026-04-12,COURSE_101,33,10,10,1,2026-05-06,completer,3.0,1098.0,10.0,100.0,74.0
S00086,2026-02-08,COURSE_101,18,10,10,1,2026-03-03,completer,3.0,779.0,10.0,100.0,72.3
S00087,2026-04-18,COURSE_101,32,10,4,0,2026-05-25,silent_dropout,16.0,203.0,4.0,40.0,67.25
S00088,2026-05-03,COURSE_101,21,10,8,0,2026-07-15,silent_dropout,16.0,440.0,8.0,80.0,51.875
S00089,2026-02-15,COURSE_101,33,10,0,0,2026-02-15,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00090,2026-03-08,COURSE_101,40,10,10,1,2026-04-05,completer,3.0,1100.0,10.0,100.0,74.5
S00091,2026-02-23,COURSE_101,39,10,10,1,2026-03-20,completer,3.0,943.0,10.0,100.0,87.8
S00092,2026-04-27,COURSE_101,36,10,5,0,2026-06-02,silent_dropout,9.0,243.0,5.0,50.0,71.2
S00093,2026-01-25,COURSE_101,21,10,7,0,2026-03-20,silent_dropout,17.0,423.0,7.0,70.0,74.14285714285714
S00094,2026-04-30,COURSE_101,40,10,6,0,2026-06-26,silent_dropout,16.0,277.0,6.0,60.0,66.33333333333333
S00095,2026-01-14,COURSE_101,21,10,2,0,2026-02-03,silent_dropout,9.0,244.0,2.0,20.0,79.5
S00096,2026-01-06,COURSE_101,33,10,10,1,2026-01-29,completer,1.0,1089.0,10.0,100.0,89.5
S00097,2026-03-02,COURSE_101,43,10,10,1,2026-03-25,completer,2.0,1108.0,10.0,100.0,83.7
S00098,2026-05-10,COURSE_101,41,10,10,1,2026-05-29,completer,3.0,677.0,10.0,100.0,68.6
S00099,2026-02-25,COURSE_101,36,10,10,1,2026-03-20,completer,2.0,1005.0,10.0,100.0,84.2
S00100,2026-02-11,COURSE_101,39,10,10,1,2026-03-01,completer,1.0,1094.0,10.0,100.0,69.0
S00101,2026-02-01,COURSE_101,34,10,10,1,2026-02-23,completer,2.0,1147.0,10.0,100.0,70.6
S00102,2026-04-07,COURSE_101,38,10,3,0,2026-05-10,silent_dropout,16.0,182.0,3.0,30.0,77.33333333333333
S00103,2026-02-10,COURSE_101,34,10,10,1,2026-03-01,completer,3.0,781.0,10.0,100.0,81.5
S00104,2026-03-23,COURSE_101,30,10,10,1,2026-04-14,completer,3.0,802.0,10.0,100.0,88.7
S00105,2026-03-19,COURSE_101,33,10,1,0,2026-03-21,explicit_dropout,0.0,14.0,1.0,10.0,45.0
S00106,2026-03-07,COURSE_101,31,10,10,1,2026-03-26,completer,1.0,1173.0,10.0,100.0,74.4
S00107,2026-01-14,COURSE_101,24,10,10,1,2026-02-03,completer,3.0,685.0,10.0,100.0,77.4
S00108,2026-01-20,COURSE_101,32,10,8,0,2026-03-22,silent_dropout,11.0,467.0,8.0,80.0,59.875
S00109,2026-01-13,COURSE_101,32,10,10,1,2026-01-31,completer,3.0,737.0,10.0,100.0,74.7
S00110,2026-04-16,COURSE_101,27,10,10,1,2026-05-09,completer,3.0,879.0,10.0,100.0,88.6
S00111,2026-03-09,COURSE_101,27,10,10,1,2026-03-29,completer,3.0,901.0,10.0,100.0,86.7
S00112,2026-03-31,COURSE_101,40,10,10,1,2026-04-25,completer,3.0,1008.0,10.0,100.0,82.3
S00113,2026-01-16,COURSE_101,32,10,0,0,2026-01-16,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00114,2026-05-25,COURSE_101,43,10,3,0,2026-06-21,silent_dropout,13.0,231.0,3.0,30.0,63.0
S00115,2026-05-18,COURSE_101,18,10,3,0,2026-06-13,silent_dropout,10.0,118.0,3.0,30.0,64.0
S00116,2026-05-21,COURSE_101,28,10,1,0,2026-05-22,explicit_dropout,0.0,18.0,1.0,10.0,75.0
S00117,2026-02-05,COURSE_101,30,10,3,0,2026-03-07,silent_dropout,13.0,123.0,3.0,30.0,67.33333333333333
S00118,2026-05-11,COURSE_101,36,10,10,1,2026-05-30,completer,2.0,1002.0,10.0,100.0,75.9
S00119,2026-01-14,COURSE_101,27,10,0,0,2026-01-14,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00120,2026-02-26,COURSE_101,28,10,10,1,2026-03-20,completer,3.0,977.0,10.0,100.0,88.0
S00121,2026-05-30,COURSE_101,27,10,8,0,2026-07-22,silent_dropout,11.0,394.0,7.0,70.0,75.42857142857143
S00122,2026-05-17,COURSE_101,44,10,2,0,2026-05-20,explicit_dropout,2.0,17.0,2.0,20.0,59.0
S00123,2026-01-03,COURSE_101,19,10,10,1,2026-01-23,completer,3.0,961.0,10.0,100.0,71.9
S00124,2026-03-08,COURSE_101,19,10,10,1,2026-03-24,completer,2.0,1166.0,10.0,100.0,73.0
S00125,2026-04-04,COURSE_101,37,10,10,1,2026-04-26,completer,3.0,915.0,10.0,100.0,76.0
S00126,2026-02-20,COURSE_101,38,10,10,1,2026-03-12,completer,1.0,987.0,10.0,100.0,66.6
S00127,2026-01-20,COURSE_101,42,10,3,0,2026-02-16,silent_dropout,12.0,149.0,3.0,30.0,74.66666666666667
S00128,2026-04-01,COURSE_101,34,10,0,0,2026-04-01,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00129,2026-03-13,COURSE_101,41,10,10,1,2026-03-30,completer,2.0,750.0,10.0,100.0,84.8
S00130,2026-01-28,COURSE_101,41,10,10,1,2026-02-25,completer,3.0,853.0,10.0,100.0,69.8
S00131,2026-04-17,COURSE_101,34,10,10,1,2026-05-08,completer,2.0,1040.0,10.0,100.0,78.0
S00132,2026-03-10,COURSE_101,20,10,10,1,2026-03-31,completer,2.0,942.0,10.0,100.0,78.9
S00133,2026-01-30,COURSE_101,21,10,10,1,2026-02-23,completer,2.0,1103.0,10.0,100.0,81.1
S00134,2026-04-14,COURSE_101,40,10,10,1,2026-05-08,completer,3.0,854.0,10.0,100.0,85.4
S00135,2026-04-07,COURSE_101,18,10,2,0,2026-04-11,explicit_dropout,2.0,26.0,2.0,20.0,66.5
S00136,2026-05-10,COURSE_101,29,10,10,1,2026-05-31,completer,2.0,1113.0,10.0,100.0,82.1
S00137,2026-05-13,COURSE_101,44,10,10,1,2026-06-05,completer,2.0,875.0,10.0,100.0,69.2
S00138,2026-04-16,COURSE_101,44,10,4,0,2026-05-25,silent_dropout,10.0,259.0,4.0,40.0,63.0
S00139,2026-01-02,COURSE_101,29,10,10,1,2026-01-18,completer,2.0,753.0,10.0,100.0,73.1
S00140,2026-05-17,COURSE_101,44,10,1,0,2026-05-19,explicit_dropout,0.0,6.0,1.0,10.0,74.0
S00141,2026-01-15,COURSE_101,39,10,0,0,2026-01-15,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00142,2026-03-15,COURSE_101,33,10,10,1,2026-04-05,completer,3.0,771.0,10.0,100.0,91.4
S00143,2026-05-07,COURSE_101,31,10,10,1,2026-05-24,completer,2.0,1141.0,10.0,100.0,84.3
S00144,2026-05-26,COURSE_101,38,10,10,1,2026-06-18,completer,2.0,1134.0,10.0,100.0,68.5
S00145,2026-05-18,COURSE_101,25,10,10,1,2026-06-04,completer,2.0,774.0,10.0,100.0,75.2
S00146,2026-02-16,COURSE_101,37,10,10,1,2026-03-12,completer,3.0,1181.0,10.0,100.0,78.3
S00147,2026-03-24,COURSE_101,44,10,5,0,2026-05-08,silent_dropout,13.0,333.0,5.0,50.0,68.2
S00148,2026-05-03,COURSE_101,37,10,10,1,2026-05-23,completer,3.0,1224.0,10.0,100.0,64.2
S00149,2026-04-28,COURSE_101,44,10,10,1,2026-05-22,completer,3.0,847.0,10.0,100.0,80.0
S00150,2026-04-13,COURSE_101,22,10,10,1,2026-05-08,completer,3.0,1094.0,10.0,100.0,77.2
S00151,2026-04-29,COURSE_101,37,10,1,0,2026-05-01,explicit_dropout,0.0,12.0,1.0,10.0,61.0
S00152,2026-04-01,COURSE_101,37,10,10,1,2026-04-18,completer,2.0,1095.0,10.0,100.0,68.6
S00153,2026-05-13,COURSE_101,29,10,10,1,2026-06-03,completer,2.0,1125.0,10.0,100.0,89.4
S00154,2026-02-09,COURSE_101,19,10,10,1,2026-03-06,completer,3.0,964.0,10.0,100.0,86.5
S00155,2026-04-13,COURSE_101,19,10,2,0,2026-04-16,explicit_dropout,2.0,21.0,2.0,20.0,73.0
S00156,2026-01-16,COURSE_101,31,10,10,1,2026-02-04,completer,3.0,704.0,10.0,100.0,70.5
S00157,2026-04-03,COURSE_101,31,10,5,0,2026-05-14,silent_dropout,10.0,258.0,5.0,50.0,58.4
S00158,2026-04-23,COURSE_101,26,10,4,0,2026-06-01,silent_dropout,13.0,368.0,4.0,40.0,69.0
S00159,2026-03-29,COURSE_101,19,10,10,1,2026-04-19,completer,2.0,950.0,10.0,100.0,93.3
S00160,2026-04-14,COURSE_101,43,10,5,0,2026-05-26,silent_dropout,11.0,345.0,5.0,50.0,56.0
S00161,2026-02-23,COURSE_101,36,10,10,1,2026-03-13,completer,2.0,828.0,10.0,100.0,73.6
S00162,2026-05-05,COURSE_101,35,10,2,0,2026-06-01,silent_dropout,17.0,93.0,2.0,20.0,81.5
S00163,2026-03-29,COURSE_101,44,10,3,0,2026-04-26,silent_dropout,13.0,164.0,3.0,30.0,75.66666666666667
S00164,2026-04-15,COURSE_101,22,10,10,1,2026-05-05,completer,2.0,805.0,10.0,100.0,69.3
S00165,2026-03-21,COURSE_101,35,10,10,1,2026-04-08,completer,2.0,927.0,10.0,100.0,78.5
S00166,2026-05-21,COURSE_101,43,10,8,0,2026-07-18,silent_dropout,12.0,278.0,7.0,70.0,75.42857142857143
S00167,2026-04-15,COURSE_101,21,10,10,1,2026-05-06,completer,2.0,1188.0,10.0,100.0,67.7
S00168,2026-05-19,COURSE_101,35,10,10,1,2026-06-10,completer,3.0,875.0,10.0,100.0,79.6
S00169,2026-04-02,COURSE_101,22,10,10,1,2026-04-21,completer,3.0,849.0,10.0,100.0,87.0
S00170,2026-03-12,COURSE_101,41,10,4,0,2026-04-17,silent_dropout,17.0,288.0,4.0,40.0,79.75
S00171,2026-05-08,COURSE_101,35,10,2,0,2026-05-27,silent_dropout,10.0,78.0,2.0,20.0,68.5
S00172,2026-03-30,COURSE_101,28,10,10,1,2026-04-23,completer,3.0,792.0,10.0,100.0,69.9
S00173,2026-01-15,COURSE_101,35,10,10,1,2026-02-08,completer,3.0,1282.0,10.0,100.0,76.7
S00174,2026-04-17,COURSE_101,44,10,10,1,2026-05-10,completer,3.0,867.0,10.0,100.0,80.9
S00175,2026-02-22,COURSE_101,44,10,4,0,2026-03-25,silent_dropout,10.0,218.0,4.0,40.0,64.0
S00176,2026-03-30,COURSE_101,21,10,10,1,2026-04-21,completer,3.0,843.0,10.0,100.0,85.6
S00177,2026-04-23,COURSE_101,33,10,7,0,2026-06-16,silent_dropout,10.0,394.0,7.0,70.0,78.71428571428571
S00178,2026-03-22,COURSE_101,28,10,10,1,2026-04-07,completer,2.0,639.0,10.0,100.0,87.6
S00179,2026-05-28,COURSE_101,19,10,1,0,2026-05-29,explicit_dropout,0.0,10.0,1.0,10.0,76.0
S00180,2026-03-06,COURSE_101,21,10,10,1,2026-03-28,completer,2.0,1115.0,10.0,100.0,89.7
S00181,2026-03-07,COURSE_101,29,10,10,1,2026-03-26,completer,2.0,1119.0,10.0,100.0,83.4
S00182,2026-01-23,COURSE_101,40,10,10,1,2026-02-13,completer,2.0,1090.0,10.0,100.0,88.5
S00183,2026-03-26,COURSE_101,21,10,0,0,2026-03-26,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00184,2026-01-21,COURSE_101,38,10,0,0,2026-01-21,explicit_dropout,0.0,0.0,0.0,0.0,0.0
S00185,2026-01-26,COURSE_101,18,10,10,1,2026-02-17,completer,3.0,1045.0,10.0,100.0,75.7
S00186,2026-03-10,COURSE_101,40,10,4,0,2026-04-08,silent_dropout,10.0,196.0,4.0,40.0,63.25
S00187,2026-05-07,COURSE_101,42,10,3,0,2026-05-31,silent_dropout,10.0,118.0,3.0,30.0,78.33333333333333
S00188,2026-02-16,COURSE_101,33,10,7,0,2026-04-10,silent_dropout,13.0,458.0,7.0,70.0,62.857142857142854
S00189,2026-01-19,COURSE_101,38,10,10,1,2026-02-08,completer,3.0,646.0,10.0,100.0,82.6
S00190,2026-03-04,COURSE_101,41,10,10,1,2026-03-20,completer,2.0,949.0,10.0,100.0,82.7
S00191,2026-05-03,COURSE_101,28,10,10,1,2026-05-22,completer,2.0,639.0,10.0,100.0,85.5
S00192,2026-03-01,COURSE_101,42,10,1,0,2026-03-02,explicit_dropout,0.0,17.0,1.0,10.0,56.0
S00193,2026-05-27,COURSE_101,30,10,2,0,2026-05-29,explicit_dropout,1.0,34.0,2.0,20.0,44.0
S00194,2026-03-31,COURSE_101,21,10,5,0,2026-05-12,silent_dropout,14.0,257.0,5.0,50.0,58.0
S00195,2026-03-16,COURSE_101,33,10,10,1,2026-04-03,completer,2.0,912.0,10.0,100.0,73.1
S00196,2026-01-05,COURSE_101,44,10,10,1,2026-02-01,completer,3.0,725.0,10.0,100.0,66.6
S00197,2026-04-09,COURSE_101,33,10,3,0,2026-05-09,silent_dropout,16.0,341.0,3.0,30.0,81.66666666666667
S00198,2026-03-25,COURSE_101,32,10,1,0,2026-03-27,explicit_dropout,0.0,10.0,1.0,10.0,47.0
S00199,2026-01-01,COURSE_101,20,10,2,0,2026-01-05,explicit_dropout,2.0,36.0,2.0,20.0,48.0
S00200,2026-01-13,COURSE_101,35,10,4,0,2026-02-26,silent_dropout,17.0,221.0,4.0,40.0,69.25
S00201,2026-03-09,COURSE_101,24,10,8,0,2026-05-15,silent_dropout,12.0,574.0,8.0,80.0,60.75
S00202,2026-05-20,COURSE_101,28,10,10,1,2026-06-14,completer,3.0,931.0,10.0,100.0,86.3
S00203,2026-01-24,COURSE_101,28,10,10,1,2026-02-15,completer,3.0,952.0,10.0,100.0,83.2
S00204,2026-01-17,COURSE_101,37,10,1,0,2026-01-18,explicit_dropout,0.0,11.0,1.0,10.0,70.0
S00205,2026-02-17,COURSE_101,41,10,5,0,2026-03-28,silent_dropout,9.0,356.0,5.0,50.0,68.0
S00206,2026-04-21,COURSE_101,43,10,10,1,2026-05-10,completer,2.0,856.0,10.0,100.0,68.7
S00207,2026-04-08,COURSE_101,24,10,10,1,2026-04-27,completer,2.0,791.0,10.0,100.0,82.2
S00208,2026-03-14,COURSE_101,32,10,5,0,2026-04-23,silent_dropout,9.0,253.0,5.0,50.0,77.2
S00209,2026-03-30,COURSE_101,33,10,10,1,2026-04-17,completer,3.0,1075.0,10.0,100.0,84.8
S00210,2026-03-21,COURSE_101,41,10,10,1,2026-04-09,completer,2.0,1040.0,10.0,100.0,75.9
S00211,2026-01-24,COURSE_101,33,10,10,1,2026-02-11,completer,3.0,977.0,10.0,100.0,68.4
S00212,2026-01-19,COURSE_101,21,10,8,0,2026-03-28,silent_dropout,12.0,460.0,8.0,80.0,61.625
S00213,2026-03-13,COURSE_101,41,10,4,0,2026-04-18,silent_dropout,17.0,179.0,4.0,40.0,75.75
S00214,2026-05-24,COURSE_101,25,10,10,1,2026-06-17,completer,3.0,762.0,10.0,100.0,88.7
S00215,2026-02-17,COURSE_101,24,10,8,0,2026-04-23,silent_dropout,11.0,533.0,8.0,80.0,57.0
S00216,2026-03-29,COURSE_101,19,10,10,1,2026-04-19,completer,2.0,1064.0,10.0,100.0,80.0
S00217,2026-03-09,COURSE_101,38,10,10,1,2026-03-31,completer,3.0,685.0,10.0,100.0,91.0
S00218,2026-02-12,COURSE_101,33,10,2,0,2026-03-06,silent_dropout,10.0,169.0,2.0,20.0,61.0
S00219,2026-02-21,COURSE_101,39,10,8,0,2026-04-25,silent_dropout,12.0,474.0,8.0,80.0,65.625
S00220,2026-03-06,COURSE_101,36,10,4,0,2026-04-06,silent_dropout,10.0,191.0,4.0,40.0,73.5
S00221,2026-05-26,COURSE_101,21,10,5,0,2026-07-02,silent_dropout,11.0,373.0,5.0,50.0,58.4
S00222,2026-04-26,COURSE_101,30,10,8,0,2026-07-06,silent_dropout,15.0,483.0,8.0,80.0,68.625
S00223,2026-04-01,COURSE_101,42,10,10,1,2026-04-21,completer,3.0,885.0,10.0,100.0,77.9
S00224,2026-02-21,COURSE_101,38,10,10,1,2026-03-20,completer,3.0,754.0,10.0,100.0,72.2
S00225,2026-04-19,COURSE_101,39,10,10,1,2026-05-10,completer,2.0,1160.0,10.0,100.0,86.4
S00226,2026-02-07,COURSE_101,31,10,10,1,2026-03-01,completer,3.0,969.0,10.0,100.0,74.3
S00227,2026-03-26,COURSE_101,20,10,2,0,2026-03-28,explicit_dropout,1.0,27.0,2.0,20.0,53.5
S00228,2026-03-18,COURSE_101,25,10,10,1,2026-04-08,completer,2.0,1232.0,10.0,100.0,74.2
S00229,2026-01-14,COURSE_101,34,10,1,0,2026-01-16,explicit_dropout,0.0,12.0,1.0,10.0,62.0
S00230,2026-03-02,COURSE_101,24,10,5,0,2026-04-07,silent_dropout,10.0,386.0,5.0,50.0,73.6
S00231,2026-02-06,COURSE_101,21,10,6,0,2026-04-01,silent_dropout,14.0,338.0,6.0,60.0,57.833333333333336
S00232,2026-03-28,COURSE_101,37,10,10,1,2026-04-19,completer,3.0,820.0,10.0,100.0,82.6
S00233,2026-01-26,COURSE_101,21,10,3,0,2026-02-21,silent_dropout,9.0,123.0,3.0,30.0,82.66666666666667
S00234,2026-01-26,COURSE_101,30,10,10,1,2026-02-15,completer,3.0,986.0,10.0,100.0,68.9
S00235,2026-05-13,COURSE_101,18,10,10,1,2026-06-01,completer,3.0,989.0,10.0,100.0,91.4
S00236,2026-01-11,COURSE_101,26,10,3,0,2026-02-07,silent_dropout,10.0,263.0,3.0,30.0,76.33333333333333
S00237,2026-05-05,COURSE_101,41,10,10,1,2026-05-19,completer,1.0,1007.0,10.0,100.0,67.0
