age,max_gap_days,total_time_min,quiz_completion_pct,avg_quiz_score
18,3.0,1036.0,100.0,73.8
27,1.0,24.0,20.0,60.5
36,10.0,412.0,80.0,54.875
18,3.0,891.0,100.0,88.4
32,3.0,1138.0,100.0,68.1
44,3.0,741.0,100.0,76.4
38,14.0,374.0,40.0,61.5
40,13.0,493.0,80.0,52.75
42,0.0,17.0,10.0,69.0
34,0.0,0.0,0.0,0.0
27,0.0,12.0,10.0,60.0
33,3.0,531.0,100.0,86.0
38,1.0,17.0,20.0,68.0
39,3.0,893.0,100.0,66.4
19,3.0,803.0,100.0,80.0
21,2.0,676.0,100.0,82.5
36,0.0,8.0,10.0,49.0
23,2.0,1007.0,100.0,82.8
30,0.0,0.0,0.0,0.0
36,9.0,231.0,40.0,68.25
25,2.0,813.0,100.0,90.3
29,3.0,1030.0,100.0,69.6
26,3.0,870.0,100.0,91.4
27,14.0,342.0,70.0,62.42857142857143
39,3.0,654.0,100.0,76.4
19,3.0,785.0,100.0,75.0
31,3.0,1122.0,100.0,80.8
26,12.0,455.0,80.0,75.0
44,9.0,463.0,70.0,72.85714285714286
21,9.0,112.0,30.0,64.0
44,2.0,17.0,20.0,59.0
23,3.0,877.0,100.0,67.4
40,0.0,5.0,10.0,71.0
27,2.0,889.0,100.0,72.8
32,0.0,0.0,0.0,0.0
19,2.0,1051.0,100.0,69.8
21,2.0,970.0,100.0,83.4
33,3.0,771.0,100.0,91.4
25,3.0,971.0,100.0,83.8
43,8.0,356.0,50.0,73.2
21,2.0,705.0,100.0,72.7
24,2.0,1059.0,100.0,86.6
35,17.0,221.0,40.0,69.25
32,2.0,14.0,20.0,59.0
29,8.0,223.0,30.0,61.0
39,2.0,947.0,100.0,86.7
31,10.0,258.0,50.0,58.4
28,12.0,526.0,80.0,65.0
32,3.0,1016.0,100.0,89.6
32,2.0,843.0,100.0,89.0
33,12.0,446.0,80.0,54.25
27,11.0,506.0,70.0,78.0
41,2.0,1051.0,100.0,85.8
25,2.0,949.0,100.0,81.9
32,3.0,744.0,100.0,78.2
20,3.0,826.0,100.0,92.0
35,3.0,810.0,100.0,88.9
40,2.0,808.0,100.0,78.7
37,3.0,1066.0,100.0,70.5
37,14.0,134.0,30.0,62.0
18,0.0,7.0,10.0,64.0
28,3.0,911.0,100.0,79.2
26,2.0,856.0,100.0,74.7
23,1.0,26.0,20.0,67.5
27,0.0,7.0,10.0,58.0
19,3.0,1163.0,100.0,83.0
43,3.0,1029.0,100.0,74.1
25,9.0,445.0,80.0,73.75
42,0.0,0.0,0.0,0.0
21,3.0,648.0,100.0,87.7
39,3.0,880.0,100.0,77.2
23,3.0,918.0,100.0,79.8
29,2.0,27.0,20.0,55.5
31,2.0,1096.0,100.0,83.2
20,2.0,1033.0,100.0,80.8
42,2.0,1290.0,100.0,90.4
38,0.0,0.0,0.0,0.0
19,3.0,966.0,100.0,82.8
44,3.0,979.0,100.0,92.8
23,13.0,411.0,70.0,62.71428571428572
28,0.0,10.0,10.0,65.0
34,2.0,1147.0,100.0,70.6
33,3.0,837.0,100.0,69.7
25,3.0,1133.0,100.0,76.6
36,2.0,828.0,100.0,73.6
38,2.0,23.0,20.0,52.5
43,12.0,242.0,40.0,72.0
26,0.0,17.0,10.0,56.0
33,3.0,893.0,100.0,73.0
26,2.0,1072.0,100.0,79.2
41,9.0,356.0,50.0,68.0
43,11.0,417.0,80.0,55.5
43,11.0,345.0,50.0,56.0
31,2.0,981.0,100.0,83.1
40,3.0,717.0,100.0,84.9
19,8.0,304.0,40.0,56.5
39,11.0,90.0,20.0,66.0
34,14.0,505.0,80.0,61.125
21,11.0,373.0,50.0,58.4
36,9.0,243.0,50.0,71.2
26,0.0,11.0,10.0,71.0
39,15.0,694.0,80.0,65.625
23,12.0,453.0,80.0,64.875
35,0.0,7.0,10.0,51.0
39,12.0,474.0,80.0,65.625
33,3.0,1320.0,100.0,83.0
23,3.0,862.0,100.0,69.9
43,15.0,283.0,70.0,74.28571428571429
20,15.0,491.0,70.0,70.14285714285714
21,3.0,1175.0,100.0,78.7
26,3.0,973.0,100.0,80.7
19,17.0,199.0,30.0,75.33333333333333
30,2.0,943.0,100.0,77.9
23,1.0,1176.0,100.0,87.1
32,2.0,862.0,100.0,78.6
31,3.0,718.0,100.0,75.2
25,0.0,7.0,10.0,63.0
31,2.0,1217.0,100.0,65.6
41,17.0,179.0,40.0,75.75
36,3.0,974.0,100.0,68.3
26,3.0,999.0,100.0,80.7
25,3.0,823.0,100.0,80.4
18,3.0,743.0,100.0,71.0
26,3.0,857.0,100.0,88.5
34,11.0,493.0,80.0,58.0
23,2.0,852.0,100.0,71.0
20,10.0,213.0,50.0,80.2
20,2.0,968.0,100.0,70.3
23,3.0,886.0,100.0,84.5
22,3.0,732.0,100.0,73.9
24,13.0,128.0,30.0,60.0
26,3.0,1001.0,100.0,76.0
34,2.0,1128.0,100.0,77.5
44,2.0,1174.0,100.0,70.5
34,0.0,0.0,0.0,0.0
26,3.0,748.0,100.0,71.4
22,3.0,999.0,100.0,88.7
20,2.0,739.0,100.0,90.9
26,10.0,264.0,40.0,78.5
44,2.0,1034.0,100.0,88.2
19,2.0,1071.0,100.0,89.0
22,3.0,853.0,100.0,86.7
26,10.0,425.0,50.0,60.6
42,10.0,418.0,50.0,83.2
37,15.0,225.0,40.0,60.5
44,10.0,218.0,40.0,64.0
42,3.0,1248.0,100.0,89.7
19,2.0,884.0,100.0,89.9
33,3.0,1052.0,100.0,74.6
35,2.0,903.0,100.0,91.2
38,16.0,499.0,80.0,70.25
42,0.0,13.0,10.0,55.0
32,0.0,0.0,0.0,0.0
31,10.0,253.0,30.0,80.66666666666667
27,3.0,902.0,100.0,82.2
22,2.0,882.0,100.0,76.6
44,3.0,725.0,100.0,66.6
33,3.0,828.0,100.0,78.1
26,3.0,905.0,100.0,83.8
24,2.0,18.0,20.0,65.5
40,14.0,287.0,40.0,61.25
31,13.0,234.0,60.0,66.5
30,2.0,1158.0,100.0,70.6
36,2.0,1005.0,100.0,84.2
33,2.0,1036.0,100.0,84.1
19,3.0,891.0,100.0,73.7
28,3.0,865.0,100.0,78.4
18,3.0,916.0,100.0,77.4
25,10.0,448.0,60.0,67.5
21,14.0,326.0,50.0,64.8
40,14.0,299.0,60.0,74.0
20,3.0,829.0,100.0,72.9
43,3.0,1009.0,100.0,80.6
37,2.0,988.0,100.0,77.1
36,0.0,0.0,0.0,0.0
27,0.0,13.0,10.0,75.0
43,3.0,959.0,100.0,74.5
25,8.0,387.0,60.0,73.33333333333333
37,2.0,36.0,20.0,47.5
29,0.0,14.0,10.0,58.0
37,3.0,1067.0,100.0,83.9
44,1.0,20.0,20.0,61.0
23,14.0,419.0,50.0,75.6
37,2.0,1100.0,100.0,95.6
43,2.0,1131.0,100.0,71.7
28,15.0,321.0,50.0,66.0
33,3.0,993.0,100.0,74.0
18,3.0,1213.0,100.0,79.0
18,2.0,1092.0,100.0,73.4
29,3.0,963.0,100.0,64.3
21,2.0,856.0,100.0,72.9
22,3.0,815.0,100.0,88.0
42,12.0,463.0,80.0,63.25
26,12.0,196.0,30.0,70.0
18,2.0,36.0,20.0,49.5
19,14.0,433.0,60.0,74.33333333333333
29,12.0,355.0,80.0,65.625
35,1.0,24.0,20.0,71.0
29,2.0,761.0,100.0,87.8
27,0.0,0.0,0.0,0.0
38,2.0,15.0,20.0,63.0
18,10.0,118.0,30.0,64.0
37,3.0,905.0,100.0,75.6
21,0.0,12.0,10.0,47.0
28,6.0,130.0,20.0,79.5
32,16.0,437.0,80.0,61.75
44,1.0,26.0,20.0,58.5
43,14.0,326.0,40.0,82.75
20,2.0,1011.0,100.0,90.5
27,3.0,715.0,100.0,72.2
38,3.0,921.0,100.0,85.4
39,3.0,907.0,100.0,87.0
31,15.0,97.0,20.0,69.0
21,2.0,784.0,100.0,78.1
32,3.0,999.0,100.0,88.2
41,17.0,288.0,40.0,79.75
28,3.0,1105.0,100.0,67.6
26,18.0,280.0,40.0,73.0
18,2.0,1028.0,100.0,76.9
37,12.0,437.0,60.0,78.16666666666667
19,2.0,827.0,100.0,79.8
24,3.0,834.0,100.0,69.5
38,2.0,1052.0,100.0,79.9
44,0.0,19.0,10.0,58.0
34,12.0,361.0,40.0,56.25
33,3.0,730.0,100.0,77.3
18,0.0,9.0,10.0,69.0
42,2.0,1033.0,100.0,72.9
28,0.0,0.0,0.0,0.0
36,2.0,1186.0,100.0,85.5
39,3.0,906.0,100.0,82.8
42,11.0,244.0,30.0,77.66666666666667
44,3.0,980.0,100.0,71.5
38,0.0,0.0,0.0,0.0
44,3.0,1075.0,100.0,84.2
18,1.0,23.0,20.0,54.5
26,0.0,0.0,0.0,0.0
41,1.0,11.0,20.0,71.5
26,2.0,14.0,20.0,42.5
22,3.0,1044.0,100.0,88.5
30,3.0,854.0,100.0,66.7
20,3.0,825.0,100.0,90.2
43,2.0,955.0,100.0,85.1
30,12.0,312.0,70.0,59.285714285714285
24,2.0,791.0,100.0,82.2
23,0.0,0.0,0.0,0.0
42,9.0,255.0,40.0,60.25
44,2.0,950.0,100.0,72.1
31,2.0,1004.0,100.0,74.0
27,11.0,299.0,50.0,75.6
18,8.0,371.0,70.0,71.85714285714286
19,14.0,227.0,40.0,71.75
21,2.0,1092.0,100.0,86.8
39,2.0,903.0,100.0,68.6
33,13.0,353.0,60.0,63.16666666666666
27,14.0,313.0,60.0,79.16666666666667
32,0.0,6.0,10.0,56.0
19,11.0,159.0,40.0,71.25
33,2.0,799.0,100.0,75.4
40,3.0,862.0,100.0,86.2
22,3.0,879.0,100.0,76.8
31,2.0,21.0,20.0,70.0
19,3.0,807.0,100.0,85.4
42,3.0,941.0,100.0,76.3
30,9.0,546.0,80.0,56.75
20,0.0,18.0,10.0,61.0
34,0.0,0.0,0.0,0.0
23,1.0,1053.0,100.0,71.2
29,3.0,1094.0,100.0,71.5
22,3.0,747.0,100.0,78.0
21,11.0,214.0,30.0,74.66666666666667
38,1.0,987.0,100.0,66.6
31,1.0,1069.0,100.0,69.9
34,3.0,763.0,100.0,77.3
32,8.0,261.0,40.0,64.5
21,17.0,423.0,70.0,74.14285714285714
26,9.0,88.0,20.0,68.0
33,3.0,1013.0,100.0,69.4
28,3.0,967.0,100.0,84.5
41,13.0,410.0,70.0,75.85714285714286
19,0.0,18.0,10.0,54.0
28,3.0,678.0,100.0,68.3
28,11.0,373.0,50.0,65.6
33,3.0,1069.0,100.0,72.5
34,17.0,446.0,80.0,64.875
38,3.0,722.0,100.0,86.8
34,14.0,309.0,70.0,71.0
31,12.0,337.0,60.0,60.66666666666666
19,2.0,1064.0,100.0,80.0
42,13.0,309.0,60.0,60.66666666666666
39,3.0,806.0,100.0,74.8
21,16.0,187.0,30.0,78.33333333333333
40,2.0,1065.0,100.0,71.3
27,3.0,959.0,100.0,73.2
43,0.0,0.0,0.0,0.0
23,3.0,896.0,100.0,84.6
24,12.0,310.0,80.0,63.625
37,9.0,231.0,20.0,75.5
31,3.0,649.0,100.0,68.4
40,2.0,1002.0,100.0,71.7
25,3.0,986.0,100.0,81.3
31,3.0,913.0,100.0,74.9
39,11.0,46.0,20.0,67.0
39,10.0,323.0,60.0,62.333333333333336
43,12.0,327.0,50.0,80.0
40,2.0,1090.0,100.0,88.5
18,3.0,888.0,100.0,74.7
29,1.0,21.0,20.0,59.0
42,11.0,212.0,40.0,74.0
38,15.0,254.0,50.0,71.6
27,2.0,963.0,100.0,68.0
19,3.0,879.0,100.0,88.2
33,7.0,391.0,50.0,81.2
42,10.0,118.0,30.0,78.33333333333333
35,10.0,404.0,50.0,77.8
36,3.0,922.0,100.0,79.4
26,11.0,217.0,40.0,63.0
30,12.0,245.0,40.0,70.5
31,12.0,200.0,30.0,66.0
19,3.0,737.0,100.0,68.5
39,2.0,1020.0,100.0,67.8
27,2.0,923.0,100.0,90.8
28,2.0,639.0,100.0,85.5
30,3.0,916.0,100.0,77.5
22,11.0,295.0,30.0,82.0
24,13.0,211.0,50.0,65.8
32,2.0,875.0,100.0,75.7
25,3.0,1033.0,100.0,73.7
24,2.0,1189.0,100.0,78.9
26,3.0,877.0,100.0,71.9
42,2.0,897.0,100.0,84.4
19,3.0,964.0,100.0,86.5
18,3.0,802.0,100.0,78.6
41,2.0,1028.0,100.0,77.1
43,9.0,438.0,50.0,66.6
40,10.0,328.0,70.0,53.0
24,3.0,688.0,100.0,85.5
37,3.0,851.0,100.0,88.2
24,0.0,8.0,10.0,51.0
28,3.0,923.0,100.0,91.8
38,3.0,953.0,100.0,79.7
23,11.0,200.0,40.0,80.75
19,0.0,18.0,10.0,54.0
41,17.0,421.0,80.0,56.125
25,15.0,326.0,80.0,54.5
19,2.0,21.0,20.0,73.0
20,0.0,0.0,0.0,0.0
30,2.0,763.0,100.0,76.3
37,3.0,909.0,100.0,74.5
21,2.0,1000.0,100.0,81.7
34,0.0,0.0,0.0,0.0
20,11.0,289.0,80.0,59.125
23,3.0,615.0,100.0,71.3
44,10.0,379.0,50.0,71.4
39,2.0,1318.0,100.0,93.2
42,1.0,857.0,100.0,74.5
31,0.0,5.0,10.0,60.0
18,13.0,87.0,20.0,82.0
29,10.0,460.0,80.0,56.875
30,1.0,25.0,20.0,65.0
43,13.0,269.0,50.0,62.8
35,9.0,88.0,20.0,84.0
43,11.0,317.0,60.0,57.0
26,3.0,696.0,100.0,83.7
23,3.0,1129.0,100.0,79.2
35,3.0,900.0,100.0,74.9
44,13.0,66.0,30.0,81.0
39,3.0,1029.0,100.0,80.8
38,3.0,953.0,100.0,68.5
23,2.0,1047.0,100.0,75.8
41,3.0,920.0,100.0,90.7
30,3.0,1042.0,100.0,85.8
24,1.0,27.0,20.0,49.0
19,3.0,845.0,100.0,77.7
36,14.0,140.0,20.0,74.0
27,16.0,241.0,40.0,75.5
34,3.0,800.0,100.0,75.4
37,2.0,1019.0,100.0,75.9
21,2.0,15.0,20.0,48.0
25,6.0,80.0,20.0,70.0
40,16.0,265.0,50.0,73.4
27,11.0,394.0,70.0,75.42857142857143
43,12.0,558.0,70.0,61.71428571428572
24,3.0,877.0,100.0,74.5
31,1.0,33.0,20.0,62.0
32,3.0,991.0,100.0,69.4
41,3.0,1067.0,100.0,76.3
19,11.0,609.0,80.0,61.375
21,2.0,878.0,100.0,86.6
36,3.0,1165.0,100.0,75.4
40,3.0,854.0,100.0,85.4
40,3.0,941.0,100.0,73.0
39,3.0,1167.0,100.0,70.3
29,7.0,187.0,20.0,80.0
34,15.0,206.0,40.0,65.0
42,13.0,279.0,50.0,68.0
40,2.0,951.0,100.0,84.3
30,13.0,324.0,50.0,70.8
29,1.0,1030.0,100.0,66.0
31,3.0,989.0,100.0,73.2
30,3.0,802.0,100.0,88.7
43,3.0,833.0,100.0,77.2
28,3.0,1042.0,100.0,79.9
42,3.0,885.0,100.0,77.9
21,2.0,23.0,20.0,66.0
43,3.0,822.0,100.0,83.9
32,2.0,816.0,100.0,86.0
41,0.0,0.0,0.0,0.0
28,3.0,907.0,100.0,76.9
19,2.0,829.0,100.0,72.3
34,16.0,345.0,70.0,63.42857142857143
24,3.0,812.0,100.0,68.2
35,12.0,220.0,40.0,62.75
36,12.0,168.0,20.0,79.0
35,1.0,1132.0,100.0,91.0
23,0.0,7.0,10.0,51.0
22,0.0,0.0,0.0,0.0
35,10.0,349.0,50.0,66.2
25,2.0,774.0,100.0,75.2
43,3.0,754.0,100.0,91.5
25,3.0,762.0,100.0,88.7
33,9.0,316.0,50.0,54.2
37,3.0,1181.0,100.0,78.3
27,2.0,1194.0,100.0,74.9
22,2.0,969.0,100.0,78.7
30,10.0,353.0,60.0,57.0
38,2.0,37.0,20.0,64.5
40,1.0,30.0,20.0,51.0
31,0.0,0.0,0.0,0.0
29,9.0,327.0,70.0,66.14285714285714
25,3.0,958.0,100.0,75.9
22,3.0,849.0,100.0,87.0
38,3.0,995.0,100.0,82.4
41,3.0,768.0,100.0,77.8
18,2.0,33.0,20.0,57.0
34,15.0,151.0,30.0,72.33333333333333
33,2.0,682.0,100.0,76.4
25,3.0,1302.0,100.0,88.0
37,0.0,12.0,10.0,61.0
44,2.0,1060.0,100.0,77.9
42,11.0,369.0,50.0,58.8
44,2.0,1051.0,100.0,90.9
19,3.0,801.0,100.0,71.6
22,0.0,15.0,10.0,56.0
40,2.0,936.0,100.0,69.0
34,12.0,191.0,20.0,69.5
21,2.0,1188.0,100.0,67.7
30,3.0,957.0,100.0,69.2
24,6.0,156.0,20.0,80.0
41,1.0,26.0,20.0,59.5
34,2.0,954.0,100.0,80.1
18,3.0,1234.0,100.0,77.9
33,0.0,9.0,10.0,58.0
21,14.0,433.0,80.0,69.25
38,3.0,945.0,100.0,77.8
31,3.0,961.0,100.0,74.2
26,3.0,1047.0,100.0,86.0
24,2.0,32.0,20.0,61.0
31,3.0,937.0,100.0,71.9
26,2.0,25.0,20.0,50.0
25,3.0,912.0,100.0,70.1
35,0.0,0.0,0.0,0.0
37,2.0,1223.0,100.0,71.7
31,3.0,969.0,100.0,88.6
37,0.0,0.0,0.0,0.0
39,3.0,1017.0,100.0,70.5
41,8.0,206.0,30.0,72.0
21,2.0,972.0,100.0,78.6
43,3.0,958.0,100.0,67.6
34,0.0,19.0,10.0,59.0
39,2.0,1241.0,100.0,88.1
36,2.0,878.0,100.0,76.9
32,1.0,1138.0,100.0,67.6
31,11.0,231.0,30.0,76.0
20,1.0,27.0,20.0,53.5
44,3.0,865.0,100.0,70.1
44,3.0,926.0,100.0,74.5
24,3.0,924.0,100.0,88.7
37,2.0,971.0,100.0,88.3
37,16.0,439.0,80.0,58.5
36,2.0,964.0,100.0,79.7
36,3.0,865.0,100.0,65.9
27,3.0,954.0,100.0,82.5
31,3.0,1021.0,100.0,65.7
29,2.0,1045.0,100.0,76.0
25,0.0,15.0,10.0,67.0
30,3.0,901.0,100.0,78.0
43,3.0,1035.0,100.0,80.9
37,12.0,439.0,60.0,59.333333333333336
41,1.0,26.0,20.0,53.0
35,10.0,491.0,80.0,52.875
44,3.0,1005.0,100.0,68.2
34,2.0,856.0,100.0,86.2
30,3.0,773.0,100.0,77.8
25,2.0,953.0,100.0,83.1
44,12.0,288.0,30.0,62.0
27,1.0,909.0,100.0,80.4
42,2.0,839.0,100.0,69.2
38,3.0,796.0,100.0,74.3
44,0.0,0.0,0.0,0.0
25,3.0,692.0,100.0,76.0
22,8.0,328.0,50.0,79.4
25,3.0,805.0,100.0,70.9
44,1.0,1006.0,100.0,81.1
19,13.0,249.0,40.0,61.5
40,3.0,853.0,100.0,83.0
34,7.0,190.0,20.0,81.5
33,0.0,14.0,10.0,45.0
29,0.0,6.0,10.0,54.0
36,2.0,1012.0,100.0,89.5
38,3.0,810.0,100.0,74.0
32,16.0,221.0,30.0,72.66666666666667
19,11.0,128.0,30.0,74.33333333333333
24,1.0,1330.0,100.0,85.8
24,3.0,980.0,100.0,73.5
37,0.0,12.0,10.0,68.0
39,0.0,0.0,0.0,0.0
39,1.0,30.0,20.0,56.5
42,3.0,683.0,100.0,83.7
26,2.0,974.0,100.0,75.6
27,0.0,19.0,10.0,63.0
28,2.0,1188.0,100.0,80.7
27,16.0,575.0,80.0,56.125
20,15.0,109.0,20.0,62.5
28,0.0,13.0,10.0,54.0
37,2.0,1095.0,100.0,68.6
20,13.0,218.0,40.0,60.75
40,10.0,196.0,40.0,63.25
21,3.0,845.0,100.0,69.7
26,9.0,216.0,30.0,75.66666666666667
21,3.0,888.0,100.0,65.5
37,3.0,820.0,100.0,82.6
23,13.0,477.0,70.0,67.57142857142857
33,3.0,873.0,100.0,71.2
